Name	Composite Rebars	Ultrasonic Structure Monitors	Electromagnetic Dampening	Anti-Radar Coating	Fast Breeder Reactors	Heat Cell Installation	Superconducting Grid Access	Adaptive Solar Cells	Concentrated Photovoltaic Cells	Multi-Stage Refinery	Molecular Biorefinery	Autonomous Mining Robotics	On-Site Biorefining	Autonomous Nodule Recovery	Ultrasonic Pulse Unit	Lidar Unit	Masked Communication Interlink	Radar Astronomy Unit	Active Interference Generator	Enemy Surveillance Analysis Center	Data Processing Center	Optimized Activation Sequence	Planetary Hull Projection	Optimized Target Leading	Base Bleed Munitions	Continuous Standby	Helical Barrels	Descent Phase Boosters	Heavyweight Projectiles	Dual Shot Support	Reusable Projectile Carriers	Superhardened Penetrators	Radioactive Payloads	Magnetic Beam Concentrators	Bioeffective Frequency Alternator	EM Drives	Nuclear Penetrator	Biohazardous Warheads	High Density Rocketfuel	High Altitude Breakdown	Coordinated Flocking	On-Site Ejector Assembly	Asteroid Density Analysis	Asteroid Substance Analysis	AI Facility Control	Concentrated Pulse Beam	Constant Low-Density Beam
Material_extract_type1_turn																																															
Material_extract_type2_turn																																															
Material_extract_type3_turn																																															
Material_extract_modifier										0.7	1.75	1.5	0.7	1.75	1.5																																
Material_yield_turn																																															
Material_yield_modifier											1.75	4		1.75	4																																
Material_cost_per_turn																																															
Material_cost_per_turn_modifier					0.5	1.2	1																																								
Energy_cost_build	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Energy_cost_remove																																															
Energy_yield_turn																																															
Energy_yield_modifier						1.75	4	1.75	2																																						
Energy_cost_per_turn																																															
Energy_cost_per_turn_modifier																1.6	1.4		1.6	1.4																											
Science_cost_build	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Science_cost_remove																																															
Science_yield_turn																		20																													
Science_yield_modifier																																															
Intelligence_cost_build																																															
Intelligence_cost_remove																																															
Intelligence_yield_turn																				7	42																										
Intelligence_yield_modifier																1.5		0.75																													
Counterintelligence_cost_build																																															
Counterintelligence_cost_remove																																															
Counterintelligence_yield_turn																	7				42																										
Counterintelligence_yield_modifier																			1.75		1																										
Tech_requirements	tech_16	tech_46	tech_27	tech_37	tech_21	tech_32	tech_41	tech_12	tech_32	tech_12	tech_22	tech_52	tech_33	tech_42	tech_52	tech_24	tech_34	tech_45	tech_27	tech_37	tech_47	tech_57	tech_57	tech_26	tech_35	tech_35	tech_45	tech_25	tech_25	tech_45	tech_23	tech_14	tech_23	tech_65	tech_64	tech_44	tech_53	tech_63	tech_44	tech_84	tech_84	tech_82	tech_82	tech_83	tech_85	tech_85	tech_86
Building_requirements																																															
Project_requirements																																															
Upgrade_requirements																																															
TurnsToBuild	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TurnsToRemove																																															
Health																																															
Health_modifier	1.5	2																																													
Stealth																																															
Stealth_modifier		0.7	1.35	1.7			0.7		0.7			0.7			0.7																																
Range																																															
Range_modifier																							1000	0.95	1.25																						
Intercept																																															
Intercept_modifier																																															
Probability																																															
Probability_modifier																						2	0.5		0.9	1.15																					
Damage																																															
Damage_modifier																											1.5	0.9				1.75	0.9	1.25	0.95		1.25	0.95		0.9			1.5	0.9	0.9	1.25	0.95
Damage_to_population																																															
Damage_to_population_modifier																											1.5	0.9				0.9	1.75	0.95	1.25		0.95	1.25		0.9			0.9	1.5	0.9	0.95	1.25
ShootCost																																															
ShootCost_modifier																													1.4	1.8	0.75					0.8			1.1		1.15	0.7			0.7		
Radius																																															
Radius_modifier																								1			0.85	1.3												1.3							
FlightDuration																																															
FlightDuration_modifier																																															
SplitAmount																													2		-1																
SplitAmount_modifier																																															
SeekRange																																															
SeekRange_modifier																																				0.6			2								
ShieldActivationCost																																															
ShieldActivationCostModifier																						0.01	20	0.75		1.2																					
ProjectileAmount																														1											3	-2					
ProjectileAmount_modifier																																															
